,SurfaceType,ConditionClass,RoadName,Length,Lanes,RoadClass,Terrain,Temperature,Moisture,RoadType,TrafficLevel,Width,Roughness,PavementAge,StructuralNo,AADT_Motor_cycle,AADT_Small_Car,AADT_Medium_Car,AADT_Delivery_Vehicle,AADT_4_Wheel_Drive,AADT_Light_Truck,AADT_Medium_Truck,AADT_Heavy_Truck,AADT_Articulated_Truck,AADT_Small_Bus,AADT_Medium_Bus,AADT_Large_Bus,AADT_Total,TrafficGrowth
0,4.0,1,Unpaved Very Good,10,2,3,1,1,4,2,4,5.0,5.0,1.0,,0.0,0.0,111.625,102.1875,0.0,25.0625,29.3125,12.8125,16.6875,56.4375,10.4375,10.4375,375.0,3
1,4.0,2,Unpaved Good,10,2,3,1,1,4,2,4,5.0,7.0,4.0,,0.0,0.0,111.625,102.1875,0.0,25.0625,29.3125,12.8125,16.6875,56.4375,10.4375,10.4375,375.0,3
2,4.0,3,Unpaved Fair,10,2,3,1,1,4,2,4,5.0,11.0,6.0,,0.0,0.0,111.625,102.1875,0.0,25.0625,29.3125,12.8125,16.6875,56.4375,10.4375,10.4375,375.0,3
3,4.0,4,Unpaved Poor,10,2,3,1,1,4,2,4,5.0,16.0,8.0,,0.0,0.0,111.625,102.1875,0.0,25.0625,29.3125,12.8125,16.6875,56.4375,10.4375,10.4375,375.0,3
4,4.0,5,Unpaved Very Poor,10,2,3,1,1,4,2,4,5.0,20.0,10.0,,0.0,0.0,111.625,102.1875,0.0,25.0625,29.3125,12.8125,16.6875,56.4375,10.4375,10.4375,375.0,3
5,2.0,1,Paved Very Good,10,3,2,1,1,4,1,6,7.0,2.0,1.0,4.0,0.0,0.0,595.333333333,545.0,0.0,133.666666667,156.333333333,68.3333333333,89.0,301.0,55.6666666667,55.6666666667,2000.0,3
6,2.0,2,Paved Good,10,3,2,1,1,4,1,6,7.0,3.0,5.0,4.0,0.0,0.0,595.333333333,545.0,0.0,133.666666667,156.333333333,68.3333333333,89.0,301.0,55.6666666667,55.6666666667,2000.0,3
7,2.0,3,Paved Fair,10,3,2,1,1,4,1,6,7.0,4.5,10.0,4.0,0.0,0.0,595.333333333,545.0,0.0,133.666666667,156.333333333,68.3333333333,89.0,301.0,55.6666666667,55.6666666667,2000.0,3
8,2.0,4,Paved Poor,10,3,2,1,1,4,1,6,7.0,8.0,15.0,4.0,0.0,0.0,595.333333333,545.0,0.0,133.666666667,156.333333333,68.3333333333,89.0,301.0,55.6666666667,55.6666666667,2000.0,3
9,2.0,5,Paved Very Poor,10,3,2,1,1,4,1,6,7.0,12.0,20.0,4.0,0.0,0.0,595.333333333,545.0,0.0,133.666666667,156.333333333,68.3333333333,89.0,301.0,55.6666666667,55.6666666667,2000.0,3
